ticker,asset_type,theme
AIQ,ETF,AI
BOTZ,ETF,AI
ROBO,ETF,AI
ARKK,ETF,AI
XLK,ETF,AI_Tech
VGT,ETF,AI_Tech
XLF,ETF,Bank
KBE,ETF,Bank
KRE,ETF,Bank
VFH,ETF,Bank
IAT,ETF,Bank
ITA,ETF,Defense
XAR,ETF,Defense
PPA,ETF,Defense
XLE,ETF,Energy
VDE,ETF,Energy
IEO,ETF,Energy
IXC,ETF,Energy
XOP,ETF,Energy
XLV,ETF,Health
VHT,ETF,Health
IYH,ETF,Health
XBI,ETF,Health
IBB,ETF,Health
ARKG,ETF,Health
SPY,ETF,Index
IVV,ETF,Index
VOO,ETF,Index
QQQ,ETF,Index
IWM,ETF,Index
DIA,ETF,Index
VTI,ETF,Index
GLD,ETF,Metal
IAU,ETF,Metal
SLV,ETF,Metal
PPLT,ETF,Metal
PALL,ETF,Metal
COPX,ETF,Metal
PICK,ETF,Metal
SMH,ETF,Semiconductor
SOXX,ETF,Semiconductor
XSD,ETF,Semiconductor
PSI,ETF,Semiconductor
ARKX,ETF,Space
UFO,ETF,Space
SPY,ETF,Index
